matchID,season,battingTeam,bowlingTeam,innings,firstBatter,secondBatter,partnership,totalBallsFaced,fours,sixes,wicket,firstBatterRuns,firstBatterBallsFaced,firstBatterFours,firstBatterSixes,secondBatterRuns,secondBatterBallsFaced,secondBatterFours,secondBatterSixes
6480bb9429a15517bb46f3be,2018,,,1,Ishan Kishan,SA Yadav,7,8,0,0,1,1,2,0,0,6,6,0,0
6480bb9384cbae8edee3707f,2017,,,1,MG Johnson,MJ McClenaghan,7,3,1,0,0,7,3,1,0,0,0,0,0
6480bb9e65a802582c071438,2012,,,2,KD Karthik,RG Sharma,7,10,0,0,1,3,6,0,0,4,4,0,0
6480bb9d80e97e178e5f68de,2011,,,2,EJG Morgan,MK Tiwary,7,7,1,0,1,6,6,1,0,1,1,0,0
6480bb9fcbbfd8053f253537,2012,,,2,DB Das,YK Pathan,7,8,0,0,0,1,3,0,0,4,5,0,0
6480bb9b4fc6889967a3cd54,2007/08,,,1,AC Gilchrist,Shahid Afridi,7,8,1,0,1,6,7,1,0,0,1,0,0
6480bb98634dba60191637ad,2021,,,1,Harpreet Brar,Mohammed Shami,7,3,1,0,0,6,3,1,0,0,0,0,0
6480bba29f384ce360fa8131,2016,,,1,DA Miller,GJ Maxwell,7,8,0,0,1,5,4,0,0,2,4,0,0
6480bb9ea49fe0f895bf242a,2012,,,2,GB Hogg,SK Trivedi,7,11,0,0,1,2,5,0,0,5,6,0,0
6480bb9ce93a7b4315d8fa30,2009,,,2,DA Warner,G Gambhir,7,9,0,0,1,4,6,0,0,2,3,0,0
6480bb9f3700dfaa08e18c43,2012,,,2,DJ Bravo,S Anirudha,7,6,0,0,1,6,5,0,0,1,1,0,0
6480bb9c8f3ef1685cdf4017,2009,,,2,BB McCullum,SC Ganguly,7,3,0,1,1,6,3,0,1,0,0,0,0
6480bb9aa37f3b44678752d9,2023,,,2,Shubman Gill,WP Saha,7,11,0,0,1,5,6,0,0,2,5,0,0
6480bb97b97c36ac8be3582f,2021,,,2,JO Holder,Rashid Khan,7,3,0,1,1,0,1,0,0,7,2,0,1
