matchID,matchNumber,season,matchStartDate,city,tossWon,tossDecision,isSuperOver,team1,team2,teamWon,wonByWickets,wonByRuns,playerOfMatch,team1Score,team1Wickets,team1Fours,team1Sixes,team1Extras,team2Score,team2Wickets,team2Fours,team2Sixes,team2Extras
648026dd2c6a814644f194d8,7,2011,2011-04-12,Jaipur,Delhi Capitals,bat,0,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,6,,SK Warne,151,6,14,6,9,152,4,13,6,12
648026ddd780dc7579ae35a1,8,2011,2011-04-12,Bangalore,Mumbai Indians,field,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,9,,SR Tendulkar,140,4,12,3,15,143,1,18,2,3
648026dd16f8c5af2d0ac7f5,9,2011,2011-04-13,Chandigarh,Kings XI Punjab,field,0,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,6,,PC Valthaty,188,4,18,6,5,193,4,25,4,1
648026dda9d0fbb2555e97ce,10,2011,2011-04-13,Mumbai,Kochi Tuskers Kerala,bat,0,Pune Warriors,Kochi Tuskers Kerala,Pune Warriors,4,,MD Mishra,148,8,12,5,11,151,6,12,5,11
648026dd7723baa5265addd3,11,2011,2011-04-14,Hyderabad,Royal Challengers Bangalore,field,0,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,,33,DW Steyn,175,5,17,6,7,142,9,12,3,8
648026dd20e8fc1b81960775,12,2011,2011-04-15,Jaipur,Kolkata Knight Riders,field,0,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,9,,G Gambhir,159,4,10,5,19,160,1,18,3,4
648026dd89a92fb5154fd174,13,2011,2011-04-15,Mumbai,Kochi Tuskers Kerala,field,0,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,8,,BB McCullum,182,2,16,7,17,184,2,23,4,11
648026ddb6b613605773c403,14,2011,2011-04-16,Chennai,Chennai Super Kings,bat,0,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,,21,MEK Hussey,183,5,20,5,4,162,7,13,5,9
648026dddf2c79b803afc49e,15,2011,2011-04-16,Hyderabad,Kings XI Punjab,field,0,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,8,,PC Valthaty,165,8,17,3,5,166,2,15,8,14
648026ddad59293e2d2d5b67,16,2011,2011-04-17,Mumbai,Delhi Capitals,field,0,Pune Warriors,Delhi Capitals,Delhi Capitals,3,,Yuvraj Singh,187,5,13,11,8,190,7,16,9,10
648026dd2b4cbf8239741bee,17,2011,2011-04-17,Kolkata,Kolkata Knight Riders,field,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,8,,L Balaji,81,10,6,1,5,85,2,7,1,11
648026dda08df89ea5153d13,18,2011,2011-04-18,Kochi,Kochi Tuskers Kerala,field,0,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,7,,BB McCullum,131,4,15,3,3,135,3,12,7,3
648026dd7aba5dc0e2574371,19,2011,2011-04-19,Delhi,Deccan Chargers,bat,0,Delhi Capitals,Deccan Chargers,Deccan Chargers,,16,S Sohal,168,4,20,3,5,152,7,12,5,13
648026dd5961394957d3e997,21,2011,2011-04-20,Mumbai,Pune Warriors,bat,0,Mumbai Indians,Pune Warriors,Mumbai Indians,7,,MM Patel,118,10,13,2,12,124,3,10,1,10
648026dd56bcd9eb6c4f4d76,22,2011,2011-04-20,Kolkata,Kolkata Knight Riders,field,0,Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala,,6,DPMD Jayawardene,132,7,11,5,8,126,9,7,3,11
648026dd6659de262cc17bb6,23,2011,2011-04-21,Chandigarh,Rajasthan Royals,field,0,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,,48,SE Marsh,195,7,19,7,17,147,7,16,2,2
648026ddb3ad4bf248341fc4,25,2011,2011-04-22,Mumbai,Chennai Super Kings,field,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,,8,Harbhajan Singh,164,4,14,7,14,156,9,15,4,10
648026dd4ddcf958585a5637,24,2011,2011-04-22,Kolkata,Royal Challengers Bangalore,field,0,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,9,,CH Gayle,171,5,15,4,13,175,1,19,8,5
648026dd7d4d7e8e44f9dd14,26,2011,2011-04-23,Delhi,Kings XI Punjab,field,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,,29,DA Warner,231,4,20,12,16,202,6,21,11,5
648026dd9e9ad19096741d7f,27,2011,2011-04-24,Hyderabad,Deccan Chargers,field,0,Deccan Chargers,Mumbai Indians,Mumbai Indians,,37,SL Malinga,172,4,18,5,5,135,8,14,1,12
648026dd22f59674ee7efffe,28,2011,2011-04-24,Jaipur,Rajasthan Royals,field,0,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,8,,SK Warne,109,10,8,0,9,111,2,11,3,2
648026dd7a9db08400891e82,29,2011,2011-04-25,Chennai,Pune Warriors,field,0,Chennai Super Kings,Pune Warriors,Chennai Super Kings,,25,MEK Hussey,142,6,10,4,4,117,9,6,2,7
648026dde2505805a7fb1e97,30,2011,2011-04-26,Delhi,Royal Challengers Bangalore,field,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,3,,V Kohli,160,6,13,5,13,161,7,17,5,18
648026dd73b293242c74a9b0,31,2011,2011-04-27,Mumbai,Pune Warriors,bat,0,Pune Warriors,Chennai Super Kings,Chennai Super Kings,8,,DE Bollinger,141,6,11,6,5,145,2,9,5,8
648026ddfb659b401279c013,32,2011,2011-04-27,Kochi,Kochi Tuskers Kerala,field,0,Kochi Tuskers Kerala,Deccan Chargers,Deccan Chargers,,55,I Sharma,129,7,13,1,7,74,10,9,0,7
648026dd5147a8883f407be6,33,2011,2011-04-28,Delhi,Delhi Capitals,field,0,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,,17,MK Tiwary,148,7,12,4,8,131,9,9,5,7
648026dd1679ff6d62ef9104,34,2011,2011-04-29,Jaipur,Rajasthan Royals,field,0,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,7,,J Botha,94,8,4,2,7,95,3,7,2,2
648026dd6451603f284ab761,35,2011,2011-04-29,Bangalore,Pune Warriors,field,0,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,,26,V Kohli,181,5,13,10,2,155,5,11,6,9
648026dda4e64fd462eb52d6,36,2011,2011-04-30,Kochi,Delhi Capitals,bat,0,Kochi Tuskers Kerala,Delhi Capitals,Delhi Capitals,,38,V Sehwag,157,7,12,7,16,119,10,9,3,8
648026dda462ccbdb63fdd90,37,2011,2011-04-30,Kolkata,Kolkata Knight Riders,field,0,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,8,,Iqbal Abdulla,119,6,11,1,6,120,2,13,1,12
648026dd8bc74d5fbd6366fb,38,2011,2011-05-01,Jaipur,Rajasthan Royals,field,0,Rajasthan Royals,Pune Warriors,Rajasthan Royals,6,,LRPL Taylor,143,7,15,2,5,144,4,9,6,11
648026ddb63378ee71d30245,39,2011,2011-05-01,Chennai,Chennai Super Kings,bat,0,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,,19,JA Morkel,165,5,13,6,9,146,8,10,5,5
648026dd54b9cf9902658ad8,40,2011,2011-05-02,Mumbai,Kings XI Punjab,field,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,,23,KA Pollard,159,5,17,4,5,136,8,12,2,12
648026dde6befd90226bc390,41,2011,2011-05-02,Delhi,Kochi Tuskers Kerala,field,0,Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,7,,P Parameswaran,140,6,16,2,7,141,3,17,3,18
648026ddf69859ab03eb3d49,42,2011,2011-05-03,Hyderabad,Deccan Chargers,field,0,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,,20,YK Pathan,169,4,13,6,10,149,6,13,1,4
648026dde8d716f7019e70dc,43,2011,2011-05-04,Chennai,Rajasthan Royals,bat,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,8,,MEK Hussey,147,6,18,0,7,149,2,12,2,4
648026ddbb948dcbd64fafd6,44,2011,2011-05-04,Mumbai,Pune Warriors,field,0,Pune Warriors,Mumbai Indians,Mumbai Indians,,21,R Sharma,160,7,13,6,15,139,7,8,7,10
648026dd09bfd9b6e652fd2b,45,2011,2011-05-05,Kochi,Kolkata Knight Riders,field,0,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,,17,BJ Hodge,156,5,13,4,6,139,7,15,2,3
648026ddabd8d94d37462fb9,46,2011,2011-05-05,Hyderabad,Delhi Capitals,field,0,Deccan Chargers,Delhi Capitals,Delhi Capitals,4,,V Sehwag,175,5,18,4,10,179,6,17,7,10
648026dd5037eb80bb5d99d4,47,2011,2011-05-06,Bangalore,Kings XI Punjab,field,0,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,,85,CH Gayle,205,6,23,11,6,120,9,11,1,5
648026ddd4035574c8dd784f,48,2011,2011-05-07,Kolkata,Chennai Super Kings,bat,0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,,10,Iqbal Abdulla,114,4,6,2,6,61,2,7,0,4
648026dd00ff679de7ec5e9f,49,2011,2011-05-07,Mumbai,Delhi Capitals,field,0,Mumbai Indians,Delhi Capitals,Mumbai Indians,,32,AT Rayudu,178,4,21,5,6,146,10,20,1,9
648026dd975fd17d92dc4faf,50,2011,2011-05-08,Bangalore,Kochi Tuskers Kerala,bat,0,Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,9,,CH Gayle,125,9,12,0,10,128,1,14,6,5
648026ddc4e113794832f7fe,51,2011,2011-05-08,Chandigarh,Kings XI Punjab,bat,0,Kings XI Punjab,Pune Warriors,Pune Warriors,5,,R Sharma,119,8,12,1,4,120,5,14,2,12
648026ddbb095f73ddb9fb06,52,2011,2011-05-09,Jaipur,Rajasthan Royals,field,0,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,,63,M Vijay,196,3,19,6,8,133,10,11,1,5
