matchID,playerID,player,team
6480217e991c2aa2cdaa3423,b720a5d6,DB Ravi Teja,Deccan Chargers
648021783ac507267b1a6bb0,39a2dfa8,R Tewatia,Delhi Capitals
64802180de0b9e475f14bbc2,c8179c68,SB Jakati,Chennai Super Kings
6480217b811fc5c8bf26983f,bb351c23,MM Ali,Chennai Super Kings
648021772289d2ecd6028a58,462411b3,JJ Bumrah,Mumbai Indians
64802180662f36a434413d1b,957532de,S Aravind,Royal Challengers Bangalore
6480217bd8cb496ecaab5aef,495d42a5,R Ashwin,Rajasthan Royals
6480217f03435d0352999931,fdedb37c,SM Katich,Kings XI Punjab
6480217d79fb2cb931a9660a,f986ca1a,HV Patel,Royal Challengers Bangalore
64802178d09293d9f5b2c96d,a4e37e47,S Dube,Royal Challengers Bangalore
64802176ad604114c6d29b88,a818c1be,TA Boult,Kolkata Knight Riders
6480217a009975eee3f15e26,a757b0d8,KA Pollard,Mumbai Indians
64802184b7a00d8ed0b9ea27,30a45b23,SPD Smith,Rajasthan Royals
64802185d525809fb115c45b,6aed7e79,PV Tambe,Gujarat Lions
6480217c66bbce532e09e61b,b17e2f24,KL Rahul,Lucknow Super Giants
64802183e2e9cf70be1edc74,4a8a2e3b,MS Dhoni,Chennai Super Kings
6480217c090d1c175a185155,2ed569a0,RD Chahar,Punjab Kings
6480217d198c08482f73ec15,9f961c14,Joginder Sharma,Chennai Super Kings
6480217d805fc0f7190c2e59,ba607b88,V Kohli,Royal Challengers Bangalore
6480217f3536ce82b755cb4a,caa89a48,SS Sarkar,Kolkata Knight Riders
6480217f3799acd96ce8c6af,5fa06777,IK Pathan,Kings XI Punjab
6480217fdd1f61e112e55fdb,9fc0ef64,PJ Sangwan,Delhi Daredevils
64802180322733a6729c4b6c,5d9a1a73,R Sharma,Pune Warriors
648021802b1dc1569ebf6d64,ae78bc32,MS Gony,Deccan Chargers
64802182d68e7f6324c2b474,6eb146d2,Gurkeerat Singh,Kings XI Punjab
64802181a4d6dc3429576f11,e32d22f6,Pankaj Singh,Rajasthan Royals
6480218506a87902869a017e,740742ef,RG Sharma,Mumbai Indians
64802177ff56ffac24342c60,7a8bd078,S Gopal,Rajasthan Royals
64802178a7d90c2e12617f4a,462411b3,JJ Bumrah,Mumbai Indians
64802177d16fd29427378681,d1c36f5c,JJ Roy,Delhi Daredevils
6480217e91e249021f72a0b7,4e04666c,YV Takawale,Mumbai Indians
648021780d812a6c4dbb36fa,740742ef,RG Sharma,Mumbai Indians
6480217bcdd9e88f9c175c3a,39a2dfa8,R Tewatia,Gujarat Titans
6480217ddc780cdd948b161f,ba607b88,V Kohli,Royal Challengers Bangalore
648021805aaa3333c5d87f1f,0184dc35,R Dravid,Rajasthan Royals
64802180af919c8b86cbce24,4a8a2e3b,MS Dhoni,Chennai Super Kings
648021818c276d9f4234dc55,2815fe50,AA Jhunjhunwala,Deccan Chargers
6480217dd7b47eb7807c51e8,e938e1bc,P Kumar,Royal Challengers Bangalore
648021819fe434cda3f21e27,662c47a6,Y Nagar,Delhi Daredevils
6480217c0100c534fd1426eb,650d5e49,R Powell,Delhi Capitals
648021831c77c7709b2da922,e938e1bc,P Kumar,Kings XI Punjab
64802183322bb9e083557a71,c42aaf71,M Manhas,Chennai Super Kings
648021841de44489c7eb4794,99d63244,KM Jadhav,Delhi Daredevils
64802184264b9eef4360df8e,271f83cd,SA Yadav,Kolkata Knight Riders
6480218445e95582e7b86675,98ae73b1,PP Chawla,Kolkata Knight Riders
6480218445564e5048ba0472,13c35c9e,TG Southee,Rajasthan Royals
6480217a528074897ee6e8cd,b681e71e,GJ Maxwell,Royal Challengers Bangalore
6480217eb2db2820c88f7781,de8d3876,M Rawat,Rajasthan Royals
64802184765752396c0690ba,fe93fd9d,RA Jadeja,Chennai Super Kings
648021762cea5ef6f2971028,5f547c8b,Rashid Khan,Sunrisers Hyderabad
64802177691e6bb063f3d0e4,dcf81436,S Kaul,Sunrisers Hyderabad
64802180a2c04f3b60c8a842,33a364a6,R Bhatia,Kolkata Knight Riders
648021817ff4db07c3d86757,4a8a2e3b,MS Dhoni,Chennai Super Kings
6480218369cb79e74cada43f,a12e1d51,SL Malinga,Mumbai Indians
6480217f3710000612f5f19f,c69a7b5c,AS Raut,Rajasthan Royals
64802183770d9d98329d0ad9,3fb19989,MA Starc,Royal Challengers Bangalore
648021849bd19c987978527d,b681e71e,GJ Maxwell,Kings XI Punjab
6480217e677921959b93185f,bb18be76,SK Warne,Rajasthan Royals
648021830327b3ec6003253b,6b19d823,A Mishra,Sunrisers Hyderabad
64802181bbb42bd7bebe920e,9a158001,Azhar Mahmood,Kings XI Punjab
648021856d0b5fbf7a605f76,87e562a9,DJ Bravo,Chennai Super Kings
6480217f20a5fb2b3121d264,72861603,GC Smith,Rajasthan Royals
6480217fddc48aeecd46eb13,855a210c,AP Tare,Mumbai Indians
6480217614270ed7babfb7d8,8d2c70ad,Kuldeep Yadav,Kolkata Knight Riders
6480217ee3eae2d9c707379b,3576e47e,S Badrinath,Chennai Super Kings
6480218506a87902869a017e,70d205c9,AT Rayudu,Mumbai Indians
64802178ea0beb85767a354f,acee4cc4,Imran Tahir,Chennai Super Kings
6480217b1b3cd180e96bc581,d5130a30,B Sai Sudharsan,Gujarat Titans
6480217dd3f4a47f3abc990b,df5a6881,DP Conway,Chennai Super Kings
64802179732fadac3dd2a89e,fb66ce1f,CH Morris,Delhi Capitals
648021814979485f9b81984f,f0f628c7,MM Patel,Mumbai Indians
64802178d7f9740d7564f74f,29e95537,AM Rahane,Rajasthan Royals
6480217b9a9907c2061d027d,dcf81436,S Kaul,Sunrisers Hyderabad
6480217cc3f3044c8c6c31b9,9eb1455b,NT Ellis,Punjab Kings
64802182c81c1a899eae00c0,dcf81436,S Kaul,Delhi Daredevils
6480217a08bcc3b3d039bf91,85e0cf10,M Prasidh Krishna,Kolkata Knight Riders
64802186ceabe27e05535e43,957532de,S Aravind,Royal Challengers Bangalore
648021807ad9cbc3fbb69328,35205dfc,DR Smith,Deccan Chargers
648021814a762abd22049717,d4f9dbd4,CA Pujara,Royal Challengers Bangalore
6480217e29379310802fb8d9,ddc0828d,A Flintoff,Chennai Super Kings
6480217f40886a7593298e22,896d78ad,AD Mathews,Kolkata Knight Riders
64802177efca1290be75f401,70d205c9,AT Rayudu,Chennai Super Kings
6480217895116728aff207c9,495d42a5,R Ashwin,Kings XI Punjab
64802179b27c9be2931d5678,7c7d63a2,AJ Tye,Kings XI Punjab
64802179d00a49c4570cd78a,fb2d1dda,N Rana,Kolkata Knight Riders
6480217a152529a0d556d904,8b3e9c7c,PP Shaw,Delhi Capitals
6480218251dadbc4d34d3c7f,bd17b45f,STR Binny,Rajasthan Royals
64802184b555ba33b56c145f,808f425a,JP Faulkner,Rajasthan Royals
64802179546ac868225f3904,87e562a9,DJ Bravo,Chennai Super Kings
